route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,direction_id,wheelchair_accessible,shape_id
国道・古川線(16152),土日祝,土日祝_18時02分_系統16152,A1中央大橋→青森駅（国道・古川線）,,,1,1,16152
石江・新城線(39081),土日祝,土日祝_18時03分_系統39081,T50西部〈営〉（石江・新城線）,,,0,1,39081
滝内・三内線(44331),土日祝,土日祝_18時04分_系統44331,R52つくしが丘病院（滝内・三内線）,,,0,1,44331
東バイパス線(56022),土日祝,土日祝_18時05分_系統56022,E10東部〈営〉（東バイパス線）,,,0,1,56022
国道・古川線(35162),土日祝,土日祝_18時08分_系統35162,A1青森駅（国道・古川線）,,,1,1,35162
国道・古川線(6162),土日祝,土日祝_18時08分_系統6162,A1小柳団地→青森駅（国道・古川線）,,,1,1,6162
中筒井線(9021),土日祝,土日祝_18時10分_系統9021,J32幸畑団地（中筒井線）,,,0,1,9021
小柳線(6141),土日祝,土日祝_18時11分_系統6141,F10東部〈営〉（小柳線(岡造道経由)）,,,0,1,6141
石江・新城線(39061),土日祝,土日祝_18時12分_系統39061,T50西部〈営〉（石江・新城線）,,,0,1,39061
造道・八重田線(1022),土日祝,土日祝_18時15分_系統1022,C10古川→東部〈営〉（造道・八重田線）,,,0,1,1022
明の星通り線(12141),土日祝,土日祝_18時15分_系統12141,G21戸山団地（明の星通り線）,,,0,1,12141
旭町通り線(28111),土日祝,土日祝_18時16分_系統28111,M43朝日放送（旭町通り線）,,,0,1,28111
造道・八重田線(39121),土日祝,土日祝_18時18分_系統39121,C12県立中央病院（造道・八重田線）,,,1,1,39121
沖館・新田線(45131),土日祝,土日祝_18時18分_系統45131,W53野木和団地（沖館・新田線）,,,0,1,45131
国道・古川線(1051),土日祝,土日祝_18時19分_系統1051,A1青森駅（国道・古川線）,,,1,1,1051
国道・古川線(24012),土日祝,土日祝_18時20分_系統24012,A1観光通り→青森駅（国道・古川線）,,,1,1,24012
造道・八重田線(49021),土日祝,土日祝_18時20分_系統49021,C11浅虫温泉駅（造道・八重田線）,,,0,1,49021
横内環状線(14022),土日祝,土日祝_18時20分_系統14022,K32横内環状→青森駅（観光通り線）,,,1,1,14022
造道・八重田線(8052),土日祝,土日祝_18時20分_系統8052,C10中筒井→東部〈営〉（造道・八重田線）,,,1,1,8052
石江・新城線(42011),土日祝,土日祝_18時28分_系統42011,T50西部〈営〉（石江・新城線）,,,1,1,42011
観光通り線(24011),土日祝,土日祝_18時30分_系統24011,K33学校教育センター（観光通り線）,,,0,1,24011
中筒井線(15031),土日祝,土日祝_18時30分_系統15031,J20昭和大仏（中筒井線）,,,0,1,15031
石江・新城線(39232),土日祝,土日祝_18時33分_系統39232,T50西部〈営〉（石江・新城線）,,,0,1,39232
国道・古川線(35162),土日祝,土日祝_18時33分_系統35162,A1青森駅（国道・古川線）,,,1,1,35162
石江・新城線(39181),土日祝,土日祝_18時33分_系統39181,T50西部〈営〉（石江・新城線）,,,0,1,39181
松森・浜館線(12061),土日祝,土日祝_18時34分_系統12061,H21戸山団地（松森・浜館線）,,,0,1,12061
新町線(12142),土日祝,土日祝_18時35分_系統12142,B1明の星→青森駅（新町線）,,,1,1,12142
浜田循環(80031),土日祝,土日祝_18時35分_系統80031,M35浜田循環→青森駅（旭町通り線）,,,1,1,80031
新町線(49022),土日祝,土日祝_18時35分_系統49022,B1青森駅（新町線）,,,1,1,49022
国道・古川線(39052),土日祝,土日祝_18時37分_系統39052,A1青森駅（国道・古川線）,,,1,1,39052
観光通り線(22021),土日祝,土日祝_18時40分_系統22021,K37問屋町（観光通り線）,,,0,1,22021
石江・新城線(22032),土日祝,土日祝_18時40分_系統22032,T50西部〈営〉（石江・新城線）,,,1,1,22032
国道・古川線(47032),土日祝,土日祝_18時41分_系統47032,A1青森駅（国道・古川線）,,,1,1,47032
浪館通り線(35161),土日祝,土日祝_18時42分_系統35161,P40慈恵会病院（浪館通り線）,,,0,1,35161
小柳線(6161),土日祝,土日祝_18時42分_系統6161,F10東部〈営〉（小柳線(桜川経由)）,,,0,1,6161
造道・八重田線(1041),土日祝,土日祝_18時44分_系統1041,C12古川→県立中央病院（造道・八重田線）,,,0,1,1041
造道・八重田線(44182),土日祝,土日祝_18時45分_系統44182,C10県病→東部〈営〉（造道・八重田線）,,,1,1,44182
明の星通り線(12081),土日祝,土日祝_18時45分_系統12081,G21戸山団地（明の星通り線）,,,0,1,12081
国道・古川線(39052),土日祝,土日祝_18時46分_系統39052,A1青森駅（国道・古川線）,,,1,1,39052
沖館・新田線(45151),土日祝,土日祝_18時49分_系統45151,W53野木和団地（沖館・新田線）,,,0,1,45151
西バイパス線(41132),土日祝,土日祝_18時52分_系統41132,U50西部〈営〉（西バイパス線）,,,0,1,41132
国道・古川線(38052),土日祝,土日祝_18時55分_系統38052,A1青森駅（国道・古川線）,,,1,1,38052
造道・八重田線(1052),土日祝,土日祝_18時55分_系統1052,C10古川→東部〈営〉（造道・八重田線）,,,0,1,1052
国道・古川線(39182),土日祝,土日祝_18時56分_系統39182,A1青森駅（国道・古川線）,,,1,1,39182
国道・古川線(1021),土日祝,土日祝_18時58分_系統1021,A1青森駅（国道・古川線）,,,1,1,1021
横内環状線(14021),土日祝,土日祝_19時00分_系統14021,J32横内環状→青森駅（中筒井線）,,,1,1,14021
旭町通り線(28111),土日祝,土日祝_19時00分_系統28111,M43朝日放送（旭町通り線）,,,0,1,28111
浜田循環(80041),土日祝,土日祝_19時00分_系統80041,K35浜田循環→青森駅（観光通り線）,,,1,1,80041
沖館・新田線(47031),土日祝,土日祝_19時05分_系統47031,W54後潟（沖館・新田線）,,,0,1,47031
